"","settlement","Date","SD_Observed_quantity_cassava","SD_Observed_price_cassava","SD_Observed_quantity_dodo","SD_Observed_price_dodo","SD_Observed_quantity_fish","SD_Observed_price_fish","SD_Observed_quantity_firewood","SD_Observed_price_firewood","SD_Observed_quantity_charcoal","SD_Observed_price_charcoal","Mean_Observed_quantity_cassava","Mean_Observed_price_cassava","Mean_Observed_quantity_dodo","Mean_Observed_price_dodo","Mean_Observed_quantity_fish","Mean_Observed_price_fish","Mean_Observed_quantity_firewood","Mean_Observed_price_firewood","Mean_Observed_quantity_charcoal","Mean_Observed_price_charcoal","Median_Observed_quantity_cassava","Median_Observed_price_cassava","Median_Observed_quantity_dodo","Median_Observed_price_dodo","Median_Observed_quantity_fish","Median_Observed_price_fish","Median_Observed_quantity_firewood","Median_Observed_price_firewood","Median_Observed_quantity_charcoal","Median_Observed_price_charcoal","Max_Observed_quantity_cassava","Max_Observed_price_cassava","Max_Observed_quantity_dodo","Max_Observed_price_dodo","Max_Observed_quantity_fish","Max_Observed_price_fish","Max_Observed_quantity_firewood","Max_Observed_price_firewood","Max_Observed_quantity_charcoal","Max_Observed_price_charcoal","Min_Observed_quantity_cassava","Min_Observed_price_cassava","Min_Observed_quantity_dodo","Min_Observed_price_dodo","Min_Observed_quantity_fish","Min_Observed_price_fish","Min_Observed_quantity_firewood","Min_Observed_price_firewood","Min_Observed_quantity_charcoal","Min_Observed_price_charcoal"
"44","Nakivale","2020-1",0,230.94010767585,NA,NA,NA,NA,NA,NA,NA,NA,1,1133.33333333333,1.8,2000,NA,NA,NA,NA,NA,NA,1,1000,1.8,2000,NA,NA,NA,NA,NA,NA,1,1400,1.8,2000,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1,1000,1.8,2000,Inf,Inf,Inf,Inf,Inf,Inf
"45","Nakivale","2020-2",0.832666399786453,0,0.282842712474619,0,0.0424264068711929,0,NA,NA,NA,NA,2.93333333333333,2000,1.9,2000,0.39,6000,NA,NA,NA,NA,3.2,2000,1.9,2000,0.39,6000,NA,NA,NA,NA,3.6,2000,2.1,2000,0.42,6000,-Inf,-Inf,-Inf,-Inf,2,2000,1.7,2000,0.36,6000,Inf,Inf,Inf,Inf
"46","Oruchinga","2019-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2000,NA,NA,NA,NA,12,1000,100,1000,1,2000,NA,NA,NA,NA,12,1000,100,1000,1,2000,-Inf,-Inf,-Inf,-Inf,12,1000,100,1000,1,2000,Inf,Inf,Inf,Inf,12,1000,100,1000
"47","Oruchinga","2019-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"48","Oruchinga","2019-12",0.321455025366432,0,0.360555127546399,0,0.0186100331362771,0,NA,NA,NA,NA,2.23333333333333,2000,1.1,2000,0.347666666666667,6000,NA,NA,1,1000,2.1,2000,1,2000,0.35,6000,NA,NA,1,1000,2.6,2000,1.5,2000,0.365,6000,-Inf,-Inf,1,1000,2,2000,0.8,2000,0.328,6000,Inf,Inf,1,1000
"49","Oruchinga","2020-1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,1,1000,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,1,1000,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"50","Oruchinga","2020-2",0.251661147842358,0,0.1,0,0.0529150262212918,0,NA,NA,NA,NA,2.96666666666667,2000,1.7,2000,0.34,6000,NA,NA,NA,NA,3,2000,1.7,2000,0.32,6000,NA,NA,NA,NA,3.2,2000,1.8,2000,0.4,6000,-Inf,-Inf,-Inf,-Inf,2.7,2000,1.6,2000,0.3,6000,Inf,Inf,Inf,Inf
"51","Oruchinga","2020-3",0.1,0,0.1,0,0.0115470053837925,288.675134594813,NA,NA,0.23094010767585,0,2.5,2000,1.4,2000,0.293333333333333,6166.66666666667,NA,NA,1.93333333333333,2000,2.5,2000,1.4,2000,0.3,6000,NA,NA,1.8,2000,2.6,2000,1.5,2000,0.3,6500,-Inf,-Inf,2.2,2000,2.4,2000,1.3,2000,0.28,6000,Inf,Inf,1.8,2000
"52","Palabek","2019-10",0.0707106781186548,0,0.152752523165195,0,NA,NA,NA,NA,0.750555349946514,0,3.35,1000,0.733333333333333,1000,NA,5000,14.2,2000,1.16666666666667,1000,3.35,1000,0.7,1000,NA,5000,14.2,2000,1.6,1000,3.4,1000,0.9,1000,-Inf,5000,14.2,2000,1.6,1000,3.3,1000,0.6,1000,Inf,5000,14.2,2000,0.3,1000
"53","Palabek","2019-11",1.10251336240688,0,0.20528725518857,0,0.0461880215351701,1527.52523165195,NA,NA,NA,NA,2.3125,1000,0.675,1000,0.0466666666666667,5333.33333333333,NA,NA,NA,NA,2.35,1000,0.65,1000,0.02,5000,NA,NA,NA,NA,3.5,1000,0.9,1000,0.1,7000,-Inf,-Inf,-Inf,-Inf,0.7,1000,0.4,1000,0.02,4000,Inf,Inf,Inf,Inf
