Year,Month,Week,Day,Settlement,Market,maize_grain_price,Maize_flour_price,Millet_flour_price,Beans_price,Sorghum_price,Veg_oil_price,Cassava_price,Salt_price,Vegetable_price,Fish_price,Milk_price,Observed_price_soap,Observed_price_pads,Observed_price_r_pads,Observed_price_torch,Observed_price_pen,Observed_price_pencil,Observed_price_exercise_book,Observed_price_counter_book,Observed_quantity_firewood,Observed_price_firewood,Observed_quantity_charcoal,Observed_price_charcoal,Observed_price_dry_cells,Observed_price_big_jerrycan,Observed_price_small_jerrycan,Observed_price_basin,Observed_price_blanket,Observed_price_sauce_pan,Observed_price_plastic_plate,Observed_price_serving_spoon,Observed_price_plastic_mug,Observed_price_wooden_mingle,Observed_price_panga,Observed_price_hoe,Observed_price_nails,Observed_price_rope,Observed_price_pole,Observed_price_brick,Observed_price_b_brick,Observed_price_grass_thatch
2020,March,Third Week,Thursday,Bidibidi,Reception ,1052.631579,3030.30303,5000,,909.0909091,5000,416.6666667,1400,3333.333333,16666.66667,1000,2000,3000,0,1000,500,200,500,2500,3.5,2000,1,1000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Bidibidi,Koro,1111.111111,,5000,,833.3333333,5000,454.5454545,1400,3333.333333,16666.66667,1000,2000,3000,0,1000,500,200,500,2500,3,2000,1.3,1000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Bidibidi,Yumbe-main ,1000,3333.333333,3333.333333,3333.333333,909.0909091,6000,476.1904762,1400,3333.333333,16666.66667,1000,2000,3000,2000,1500,500,200,500,2500,4,2000,1.2,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Wednesday,Rwamwanja,Katalyeba ,1000,2000,2000,3000,1700,6250,666.6666667,4000,1666.666667,17500,1000,3000,3000,,1000,500,200,500,3500,,,1.4,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Oruchinga,Kajaho,800,1800,4000,2545.454545,1500,6000,769.2307692,1600,1428.571429,23214.28571,1000,2500,3000,7000,1000,500,200,700,4000,,,1.8,2000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Oruchinga,Kajaho,800,2000,4000,2800,1300,6000,833.3333333,2000,1538.461538,20000,1000,2500,3000,7000,1000,500,200,700,4000,,,2.2,2000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Oruchinga,Kajaho,800,2000,4000,3000,1666.666667,6000,800,2000,1333.333333,20000,1000,2500,3000,7000,1000,500,200,800,4000,,,1.8,2000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Palorinya,Konyokonyo,1000,1111.111111,3333.333333,1428.571429,1000,5000,666.6666667,4000,5000,10000,0,2000,3000,0,1000,500,100,300,5000,4,2000,1,5000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Bidibidi,Lodenga,1111.111111,3333.333333,5000,,1000,6000,434.7826087,6000,3333.333333,16666.66667,1000,2000,3000,0,1000,500,200,500,2500,3,1000,1.2,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Bidibidi,Reception,1123.595506,3030.30303,5000,,909.0909091,5000,416.6666667,5000,3333.333333,12500,1000,2000,3000,0,1000,500,200,500,0,3,2000,1.2,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Bidibidi,Koro,1052.631579,3333.333333,3333.333333,,1020.408163,5000,400,6000,3333.333333,16666.66667,1000,2000,0,0,1000,500,200,500,2500,2.5,2000,1.1,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Bidibidi,Yumbe-main,1123.595506,3030.30303,3333.333333,2857.142857,1000,6000,476.1904762,5000,3333.333333,12500,1000,2000,3000,2500,1000,500,200,500,2500,2.5,2000,1.3,1000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Kiryandongo,Bweyale ,1200,2400,4000,4000,1000,6000,476.1904762,1400,3333.333333,20000,1600,4000,3500,4000,1500,500,150,500,3500,6,2000,0.2,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Kiryandongo,Bweyale ,1200,2600,4500,5000,1000,7000,333.3333333,4000,3333.333333,20000,1600,4000,3500,4000,1500,500,150,500,4000,6,2000,0.3,1000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Kyaka II,Byabakora market ,1000,2800,3000,3600,2000,6250,714.2857143,4000,,16666.66667,1000,,,,,,,,,,,0.4,1000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Kyaka II,Bukere ,1000,2500,3000,3500,,6250,,4000,2500,16666.66667,1000,,,,,,,,,,,0.3,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Arua/Rhino Camp,Kubala,1666.666667,2500,,5000,909.0909091,6250,,6000,,,0,2000,3500,0,1000,500,500,500,0,11.6,2000,2.2,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Arua/Rhino Camp,Ocea,1250,2500,5000,,1000,6250,500,4000,2000,5000,0,2000,3000,0,1000,500,0,0,0,13.1,2000,1.8,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Arua/Rhino Camp,Ofua 3,1250,2500,,2166.666667,1250,6250,285.7142857,4000,,20000,0,2000,3000,0,1000,500,700,500,0,12.5,2000,1.6,1000,,,,,,,,,,,,,,,,,,
2019,March,First Week,Thursday,Koboko/Lobule,Koboko main market,1000,3000,4000,3500,2000,5000,666.6666667,1400,833.3333333,25000,2000,2000,3000,0,1000,500,200,500,5000,6,1000,1,500,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Koboko/Lobule,Lodonga market,1666.666667,,,3333.333333,1000,5500,,1600,,20000,1500,2000,3000,0,1000,500,200,500,3000,22,2000,2,1000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Koboko/Lobule,Koboko main market,1250,4285.714286,3333.333333,4000,1111.111111,5500,1333.333333,1600,833.3333333,15000,2000,2000,3000,0,1000,500,200,500,3000,15,2000,1,600,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Thursday,Koboko/Lobule,Koboko main market,1000,3333.333333,3333.333333,5000,1250,5500,1538.461538,1600,666.6666667,12500,2000,2000,3000,0,1000,500,200,500,3000,14,2000,1,500,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Thursday,Nakivale,Rubondo,800,1800,,3000,1400,5600,,1700,,,1000,3500,3000,,1000,500,200,500,,,,1,2000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Friday,Nakivale,New Congo,900,2000,3600,3500,1700,5600,2000,2000,2000,16000,1000,3500,3000,,1000,500,200,500,,,,1,2000,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Saturday,Nakivale,Kityaza,750,2000,,3000,1500,5600,2000,2000,,,1000,3500,2500,,1000,500,200,500,,,,1,2000,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Friday,Palabek,Kitgum Main Market,1000,3750,3500,2500,1000,5000,378,4000,3300,20000,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Friday,Palabek,Palabek Kal ,1000,,,3000,1000,5000,359,5000,2533,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Fourth Week,Friday,Palabek,Paluda Base camp ,,3750,,2000,1000,5000,396,6000,2000,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Second Week,Tuesday,Imvepi,Point j market,1000,1500,3500,4000,1000,7874,1000,1200,,15000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,March,Third Week,Friday,Imvepi,Point J,1000,1500,3450,4000,900,8000,900,1400,2000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,December,Fourth Week,Wednesday,Adjumani,Awindiri Market.,1500,1800,,,1500,6000,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,December,Fourth Week,Wednesday,Adjumani,Adjumani main market.,1500,2000,3300,3700,,6000,1200,800,5400,38000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,December,Fourth Week,Friday,Adjumani,Nyumanzi market.,1500,1900,3200,3600,1500,6000,1250,750,5790,34500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
