Year,Month,Settlement,Observed_quantity_cassava,Observed_price_cassava,Observed_quantity_dodo,Observed_price_dodo,Observed_quantity_fish,Observed_price_fish,Observed_quantity_firewood,Observed_price_firewood,Observed_quantity_charcoal,Observed_price_charcoal
2019,November,Nakivale,2.5,1000,1.3,2000,350,6000,,,,
2019,November,Nakivale,2.3,1000,,,350,6000,,,,
2019,November,Nakivale,2.5,1000,1.3,2000,,,,,,
2019,November,Imvepi,,1000,640,500,0.51,4300,,,,
2019,November,Imvepi,,,1.93,1000,0.82,5000,,,,
2019,November,Imvepi,,,0.992,600,0.82,4000,,,,
2019,November,Adjumani,1.6,1000,0.6,2000,0.4,16000,,,,
2019,November,Adjumani,1.8,1000,0.6,2500,0.4,17000,,,,
2019,November,Adjumani,1,1000,0.6,2000,0.4,13000,,,,
2019,November,Kyangwali,1,250,1,1600,1,16700,,,,
2019,November,Kyangwali,1,450,1,1700,1,15900,,,,
2019,November,Kyangwali,1,350,1,1650,1,16900,,,,
2019,November,Arua/Rhino Camp,2,1000,0.4,500,0,0,,,,
2019,November,Arua/Rhino Camp,4.5,1000,0.6,600,0,0,,,,
2019,November,Arua/Rhino Camp,3,1000,1,400,0.4,4500,,,,
2019,November,Koboko/Lobule,1.5,1000,1.8,1000,0.3,5000,,,,
2019,November,Koboko/Lobule,1.2,1000,1.2,1000,0.4,5000,,,,
2019,November,Koboko/Lobule,1,1000,0.8,1000,0.4,5500,,,,
2019,November,Palabek,3.5,1000,0.5,1000,0.02,7000,,,,
2019,November,Palabek,1.6,1000,0.4,1000,0,0,,,,
2019,November,Palabek,1.4,1000,0.9,1000,0,0,,,,
2019,December,Rwamwanja,1.5,2000,0.5,1000,0.3,10000,4,2000,0.6,1000
2019,December,Bidibidi,1.2,1000,0.45,1000,0.52,5000,0,0,1.1,1000
2019,December,Bidibidi,2.3,1000,0.6,1000,0.4,5000,,,,
2019,December,Bidibidi,1.3,1000,0.37,1000,0.2,2000,0,0,,
2019,December,Bidibidi,1.4,1000,0.43,1000,0,0,0,0,0,0
2019,December,Arua/Rhino Camp,4.5,1000,0.6,600,,,,,,
2019,December,Arua/Rhino Camp,1.9,2000,0.4,500,,,,,,
2019,December,Adjumani,1.3,1000,0.4,2000,0.4,15000,0,0,0,0
2019,December,Adjumani,1.5,1000,0.5,3000,0.4,18000,0,0,0,0
2019,December,Adjumani,1.3,1000,0.5,2000,0.4,16000,0,0,0,0
2019,December,Kyaka II,1.5,1000,,,0.4,5000,,,1.2,1000
2019,December,Palabek,3.3,1000,0.9,1000,0,0,12,2000,1000,2000
2019,December,Palabek,3.3,1000,0.7,1000,0.3,7000,0,0,1.5,1000
2019,December,Palabek,3.3,1000,0.6,1000,0.4,8000,0,0,1.6,1000
2019,December,Kyangwali,1,500,1,1200,1,10000,,,,
2019,December,Kyangwali,1,450,1,1400,1,12000,,,,
2019,December,Kyangwali,1,500,1,1300,1,14000,,,,
2019,December,Kyaka II,1.5,2000,,,0.25,5000,,,0.3,1000
2019,December,Kyaka II,2,2000,,,0.2,5000,,,0.5,1000
2019,December,Imvepi,,,1.23,800,,5000,,,,
2019,December,Imvepi,,,0.98,600,,4000,,,1.8,500
2019,December,Imvepi,,,0.668,400,0.53,5000,,1000,4.5,1000
2019,December,Adjumani,1.3,1000,0.6,3000,0.4,18000,0,0,0,0
2019,December,Palabek,1.6,1000,0.7,1000,0.2,7000,,,,
2019,December,Palabek,3.3,1000,0.9,1000,0.2,7500,,,,
2019,December,Imvepi,1,1000,1,1000,0,0,1,1000,2,1000
2019,December,Kyaka II,1.8,1000,,,0.4,5000,,,1.2,1000
2019,December,Adjumani,1.6,1000,0.7,3000,0.4,18000,0,0,0,0
2019,December,Adjumani,1.4,1000,0.7,3500,0.4,18000,0,0,,
2019,December,Adjumani,1.1,1000,0.7,3500,0.4,18000,0,0,0,0
2019,December,Nakivale,2.4,2000,,,,,,,,
2019,December,Nakivale,2.5,2000,1.8,2000,0.395,6000,,,,
2019,December,Nakivale,2.4,2000,1.8,2000,0.38,6000,,,,
2019,December,Oruchinga,2.6,2000,0.8,2000,0.35,6000,,,,
2019,December,Oruchinga,2,2000,1,2000,0.365,6000,,,1,1000
2019,December,Oruchinga,2.1,2000,1.5,2000,0.328,6000,,,,
2019,December,Kyangwali,1,450,1,1600,1,26600,1,500,1,800
2019,December,Kyangwali,1,220,1,1250,1,26600,1,200,1,1100
2019,December,Kyangwali,1,1,1,1250,1,28500,1,400,1,1250
2019,December,Bidibidi,0,0,1,1000,1,4000,0,0,1000,0
2019,December,Bidibidi,0,0,1,1000,1,4000,0,0,1000,0
2019,December,Bidibidi,0,0,1,1000,1,5000,0,0,1000,0
2019,December,Bidibidi,0,0,0.3,400,0.3,5000,0,0,1.5,500
2019,November,Palorinya,1.8,1000,0.8,1000,0.4,5000,,,,
2019,November,Palorinya,2,1000,0.8,1000,0.4,5000,,,,
2019,December,Palorinya,3.8,2000,0.9,1000,0.3,5000,5,1000,1.5,1000
2019,December,Palorinya,3.6,2000,0.9,1000,0.35,5000,5,1000,1.5,1000
2019,December,Palorinya,3.5,2000,0.8,1000,0.3,5000,0,0,1.5,1000
2019,December,Bidibidi,0,0,0.9,1000,0.82,4000,0,0,1.1,1000
2019,December,Bidibidi,2.05,1000,0.9,1000,0.75,5000,6,2000,0,0
2019,December,Bidibidi,0,0,0.89,1000,0.8,5000,7,2000,1,1000
2019,December,Imvepi,1,1000,1,1500,0,0,1,1000,1,1000
2019,December,Bidibidi,0,0,0.89,1000,0.86,5000,0,0,1.5,500
2019,December,Bidibidi,2.1,1000,0.86,1000,0.75,5000,6.05,2000,3.5,500
2019,December,Bidibidi,2.5,1000,0.85,1000,0.8,5000,5.2,2000,1.96,500
