level,num_assessed,num_market_assessed,num_partners,food_basket_cost,food_basket_change,most_expensive_settlement1,most_expensive_settlement2,most_expensive_settlement3,least_expensive_settlement1,least_expensive_settlement2,least_expensive_settlement3,lowest_stock_item1,lowest_stock_item2,lowest_stock_item3,N_mzg,N_mzf,N_milf,N_beans,N_sor,N_oil,N_cas,N_salt,N_greens,N_firewood,N_charcoal,N_soap,N_fMEB,N_MEB_NFI,Adj_mzg,Adj_mzf,Adj_milf,Adj_beans,Adj_sor,Adj_oil,Adj_cas,Adj_salt,Adj_greens,Adj_firewood,Adj_charcoal,Adj_soap,Adj_fMEB,Adj_MEB_NFI,Bid_mzg,Bid_mzf,Bid_milf,Bid_beans,Bid_sor,Bid_oil,Bid_cas,Bid_salt,Bid_greens,Bid_firewood,Bid_charcoal,Bid_soap,Bid_fMEB,Bid_MEB_NFI,Imv_mzg,Imv_mzf,Imv_milf,Imv_beans,Imv_sor,Imv_oil,Imv_cas,Imv_salt,Imv_greens,Imv_firewood,Imv_charcoal,Imv_soap,Imv_fMEB,Imv_MEB_NFI,Kir_mzg,Kir_mzf,Kir_milf,Kir_beans,Kir_sor,Kir_oil,Kir_cas,Kir_salt,Kir_greens,Kir_firewood,Kir_charcoal,Kir_soap,Kir_fMEB,Kir_MEB_NFI,Kya_mzg,Kya_mzf,Kya_milf,Kya_beans,Kya_sor,Kya_oil,Kya_cas,Kya_salt,Kya_greens,Kya_firewood,Kya_charcoal,Kya_soap,Kya_fMEB,Kya_MEB_NFI,Kyan_mzg,Kyan_mzf,Kyan_milf,Kyan_beans,Kyan_sor,Kyan_oil,Kyan_cas,Kyan_salt,Kyan_greens,Kyan_firewood,Kyan_charcoal,Kyan_soap,Kyan_fMEB,Kyan_MEB_NFI,lob_mzg,lob_mzf,lob_milf,lob_beans,lob_sor,lob_oil,lob_cas,lob_salt,lob_greens,lob_firewood,lob_charcoal,lob_soap,lob_fMEB,lob_MEB_NFI,Nak_mzg,Nak_mzf,Nak_milf,Nak_beans,Nak_sor,Nak_oil,Nak_cas,Nak_salt,Nak_greens,Nak_firewood,Nak_charcoal,Nak_soap,Nak_fMEB,Nak_MEB_NFI,Oru_mzg,Oru_mzf,Oru_milf,Oru_beans,Oru_sor,Oru_oil,Oru_cas,Oru_salt,Oru_greens,Oru_firewood,Oru_charcoal,Oru_soap,Oru_fMEB,Oru_MEB_NFI,Pal_mzg,Pal_mzf,Pal_milf,Pal_beans,Pal_sor,Pal_oil,Pal_cas,Pal_salt,Pal_greens,Pal_firewood,Pal_charcoal,Pal_soap,Pal_fMEB,Pal_MEB_NFI,Palo_mzg,Palo_mzf,Palo_milf,Palo_beans,Palo_sor,Palo_oil,Palo_cas,Palo_salt,Palo_greens,Palo_firewood,Palo_charcoal,Palo_soap,Palo_fMEB,Palo_MEB_NFI,Rhi_mzg,Rhi_mzf,Rhi_milf,Rhi_beans,Rhi_sor,Rhi_oil,Rhi_cas,Rhi_salt,Rhi_greens,Rhi_firewood,Rhi_charcoal,Rhi_soap,Rhi_fMEB,Rhi_MEB_NFI,Rwa_mzg,Rwa_mzf,Rwa_milf,Rwa_beans,Rwa_sor,Rwa_oil,Rwa_cas,Rwa_salt,Rwa_greens,Rwa_firewood,Rwa_charcoal,Rwa_soap,Rwa_fMEB,Rwa_MEB_NFI,Traders_decrease,Traders_decrease_no,vendor_decreased,vendor_decreased_no,customer_decrease,customer_decrease_No,customer_change,customer_change_No,supply_difficulty,supply_difficulty_No,item_difficulty1,item_difficulty2,item_difficulty3,item_difficulty4,item_difficulty5,item_difficulty_prop1,item_difficulty_prop2,item_difficulty_prop3,item_difficulty_prop4,item_difficulty_prop5,difficulty_reasons1,difficulty_reasons2,difficulty_reasons3,difficulty_reasons4,difficulty_reasons5,difficulty_reasons_prop1,difficulty_reasons_prop2,difficulty_reasons_prop3,difficulty_reasons_prop4,difficulty_reasons_prop5,mobilemoney,mobilemoney_No,stock_runout,stock_runout_No,stock_out1,stock_out2,stock_out3,stock_out4,stock_out5,stock_out_prop1,stock_out_prop2,stock_out_prop3,stock_out_prop4,stock_out_prop5,cross_border_change,cross_border_change_No,money_agents_closed,money_agents_No
Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Nile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
